Unnamed: 0,Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,source_cause,Total.Affected.Pass,Fatalities,Uninjured.Ratio
63921,20080115X00047,Accident,2008,"Spotsylvania, VA",United States,Non-Fatal,Substantial,Airplane,Cessna,R172K,1.0,Neil T. Wallace,0.0,1.0,0.0,0.0,VMC,"The pilot's failure to follow the checklist and failure to achieve the proper touchdown point during a forced landing. Contributing to the accident was a loss of engine power due to a cracked No. 4 top sparkplug insulator, resulting in pre-ignition/detonation and the failure of the No. 2 connecting rod cap due to evacuation of the oil supply.",Human,1.0,0.0,0.0
63922,20080116X00063,Accident,2008,"Kodiak, AK",United States,Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,"Servant Air, Inc.",6.0,1.0,3.0,0.0,VMC,"The failure of company maintenance personnel to ensure that the airplane's nose baggage door latching mechanism was properly configured and maintained, resulting in an inadvertent opening of the nose baggage door in flight. Contributing to the accident were the lack of information and guidance available to the operator and pilot regarding procedures to follow should a baggage door open in flight and an inadvertent aerodynamic stall.",Human,10.0,0.6,0.0
63944,20080116X00062,Accident,2008,"Port Clinton, OH",United States,Fatal,Substantial,Airplane,Cessna,340,2.0,,4.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain sufficient airspeed to avoid a stall during the landing approach.,Human,4.0,1.0,0.0
63946,20080123X00090,Accident,2008,"Clearwater, FL",United States,Fatal,Substantial,Airplane,Cessna,172L,1.0,Joseph P. Bellamy,3.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain airspeed while maneuvering for approach to land. Contributing to the accident was the pilot's operation of the airplane above the design gross weight.,Human,3.0,1.0,0.0
63951,20080117X00069,Accident,2008,"Centerville, WA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-12,1.0,Dwayne A. Hansen,0.0,1.0,0.0,1.0,VMC,A loss of engine power due to carburetor icing conditions and the failure of the pilot to use the correct amount of carburetor heat for the existing conditions.,Human,1.0,0.0,0.5
63958,20080118X00074,Accident,2008,"Bethel, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,208B,1.0,,0.0,1.0,0.0,4.0,VMC,"The pilot's selection of unsuitable terrain for landing. Contributing to the accident were snow-covered terrain, blowing snow and flat lighting conditions.",Human,1.0,0.0,0.8
63961,20080118X00075,Accident,2008,"Aniak, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,207,1.0,Inland Aviation Services Inc.,0.0,0.0,1.0,0.0,IMC,"A partial loss of engine power for an undetermined reason. Contributing to the accident were the pilot's inadvertent encounter with IMC conditions, and a whiteout during his attempted go-around from an emergency landing approach.",Human,1.0,0.0,0.0
63971,20080128X00111,Accident,2008,"San Antonio, TX",United States,Fatal,Destroyed,Airplane,Piper,PA46-500TP,1.0,William Easterling,1.0,0.0,0.0,0.0,IMC,The pilot's failure to execute an instrument approach. Contributing to the accident was the pilot's impairment due to recent use of over-the-counter medication.,Human,1.0,1.0,0.0
63978,20080130X00124,Accident,2008,"Corona, CA",United States,Fatal,Destroyed,Airplane,Cessna,172N,1.0,Funoutside,4.0,0.0,0.0,0.0,VMC,The failure of both pilots to see and avoid the other airplane.,Human,4.0,1.0,0.0
63988,20080210X00161,Accident,2008,"York, SC",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-R200,1.0,Rock Hill Aviation,0.0,2.0,0.0,0.0,VMC,"Loss of engine power due to improper welding of the crankcase, which resulted in fatigue failure of the through-studs and a subsequent separation of the number two cylinder. Contributing to the accident was the unsuitable terrain for a forced landing.",Mechanical,2.0,0.0,0.0
63989,20080229X00248,Accident,2008,"Beaver Marsh, OR",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,,0.0,1.0,0.0,2.0,VMC,The pilot's inadequate in-flight planning/decision to land on a snow covered runway without first determining the depth of the snow.,Human,1.0,0.0,0.6666666666666666
63998,20080317X00317,Accident,2008,"Sheffield, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,,0.0,0.0,1.0,0.0,VMC,The pilot's failure to maintain sufficient airspeed while maneuvering which resulted in a stall.,Human,1.0,0.0,0.0
64003,20080321X00361,Accident,2008,"Hollywood, FL",United States,Non-Fatal,Substantial,Airplane,Piper,J3-C65,1.0,,0.0,2.0,0.0,0.0,VMC,The pilot's failure to maintain directional control while landing. Contributing was the gusty crosswind condition.,Human,2.0,0.0,0.0
64008,20080212X00178,Incident,2008,"West Palm Beach, FL",United States,Non-Fatal,Minor,Airplane,Boeing,B757-200,1.1327227239960989,AMERICAN AIRLINES COMMERCIAL FLIGHT OPERATIONS,0.0,6.0,0.0,140.0,VMC,"the arcing of the windshield heat system at the upper, aft (J1) and upper, forward (J4) terminal locations on the first officer's windshield, which caused the inner pane of glass to fracture.",Mechanical,6.0,0.0,0.958904109589041
64012,20080211X00172,Accident,2008,"West Gardiner, ME",United States,Fatal,Destroyed,Airplane,Cessna,525,2.0,Jeanette A. Symons,2.0,0.0,0.0,0.0,IMC,The pilot's spatial disorientation and subsequent failure to maintain airplane control.,Human,2.0,1.0,0.0
64016,20080206X00142,Accident,2008,"Lindsay, OK",United States,Fatal,Destroyed,Airplane,Cirrus Design Corp,SR22,1.0,JACKSON WILLIAM P,2.0,0.0,0.0,0.0,VMC,"The flight instructor's failure to maintain control of the airplane, which resulted in an inadvertent stall while maneuvering.",Mechanical,2.0,1.0,0.0
64017,20080211X00167,Accident,2008,"Mukilteo, WA",United States,Non-Fatal,Substantial,Airplane,Bellanca,17-30A,1.0,,0.0,0.0,1.0,0.0,VMC,Loss of engine power while on final approach for undetermined reasons. Contributing to the accident was a power line.,Mechanical,1.0,0.0,0.0
64019,20080219X00209,Accident,2008,"Cabazon, CA",United States,Fatal,Destroyed,Airplane,Cessna,340A,2.0,Michael J. Bybyk,4.0,0.0,0.0,0.0,IMC,The pilot's continued visual flight into instrument meteorological conditions and failure to maintain terrain clearance while en route.  Contributing to the accident were clouds and mountainous terrain.,Human,4.0,1.0,0.0
64028,20080219X00205,Accident,2008,"Baytown, TX",United States,Fatal,Destroyed,Airplane,Cessna,210,1.0,,1.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain aircraft control after flying into clouds.,Human,1.0,1.0,0.0
64042,20080222X00232,Accident,2008,"Grand Meadow, MN",United States,Fatal,Substantial,Airplane,Cessna,140,1.0,,1.0,0.0,0.0,0.0,IMC,"The pilot's continued visual flight into an area of known instrument meteorological conditions in an airplane not equipped for instrument flight, and his failure to maintain control of the airplane while maneuvering at low altitude.",Human,1.0,1.0,0.0
64050,20080219X00210,Accident,2008,"Piru, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,Gavin Aviation,0.0,3.0,0.0,0.0,VMC,The loss of engine power for undetermined reasons.  Contributing factors were the lack of suitable terrain for the forced landing and dark night conditions.,Mechanical,3.0,0.0,0.0
64056,20080416X00494,Accident,2008,"Tallahassee, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,177RG,1.0,,0.0,0.0,1.0,0.0,VMC,"
Pilot's inaccurate fuel management resulting in fuel exhaustion.",Mechanical,1.0,0.0,0.0
64057,20080213X00186,Accident,2008,"Spring, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-235,1.0,,0.0,0.0,1.0,0.0,VMC,Failure of the pilot to ensure that the fuel system was purged of water prior to flight.  Contributing to the severity of injuries was the lack of shoulder restraints.,Human,1.0,0.0,0.0
64070,20080220X00215,Accident,2008,"Sterling, KS",United States,Fatal,Destroyed,Airplane,Piper,PA-23-250,2.0,,1.0,0.0,0.0,0.0,VMC,The loss of pitch control during cruise flight resulting from the separation of the stabilator trim actuator due to inadequate maintenenace.,Mechanical,1.0,1.0,0.0
64088,20080220X00216,Accident,2008,"Benton, KS",United States,Fatal,Destroyed,Airplane,Cessna,414A,2.0,,2.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain clearance from the trees. Contributing to the accident was the pilot's flight into known adverse weather conditions and the low clouds and visibility.,Human,2.0,1.0,0.0
64107,20080319X00336,Accident,2008,"Cumberland, MD",United States,Fatal,Substantial,Airplane,Beech,A36,1.0,BZM LLC.,2.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain the proper approach course for undetermined reasons.,Human,2.0,1.0,0.0
